,user_ids,support,itemsets,period,property_values,depth,size,a,itemset_name
0,"[100169, 100882, 102233, 103922, 105498, 105649, 106845, 107493, 107936, 108122, 108520, 108765, 109551, 111432, 112013, 112161, 112979, 113297, 113425, 113797, 114423, 114771, 115022, 115334, 115588, 116610, 117321, 117461, 117978, 119521, 120248, 120768, 120921, 121408, 122824, 123708, 123777, 123892, 124069, 124681, 125579, 126718, 128150, 128933, 129040, 129151, 130015, 130184, 130260, 131320, 131514, 131516, 132253, 132262, 132640, 132873, 133162, 133892, 133917, 135348, 136649, 136688, 137677, 137806, 138543, 138874, 139035, 140439, 140965, 141778, 142418, 143054, 144465, 145467, 146720, 148360, 149020, 149838, 150865, 151260, 151353, 152715, 152797, 153490, 153850, 154052, 154349, 154737, 154953, 156366, 156490, 157310, 157319, 157357, 157573, 158293, 158554, 158671, 159506, 160728, 160892, 162048, 163332, 164525, 165785, 167012, 167209, 167298, 167389, 167870, 168983, 170158, 170884, 171151, 171711, 171799, 172838, 172974, 173319, 173656, 174547, 176162, 176750, 177158, 177933, 179185, 179210, 179416, 180230, 180415, 180952, 181421, 182377, 183931, 185183, 186353, 188482, 188588, 191537, 191656, 192277, 192445, 192513, 193056, 193278, 193333, 193807, 193871, 194749, 195378, 197265, 197678, 200391, 202691, 203373, 203590, 204046, 204821, 205024, 205109, 205515, 205683, 206024, 206659, 207265, 207305, 207998, 208423, 208744, 209010, 209677, 209827, 209988, 210342, 210409, 211038, 211657, 212871, 216386, 216808, 217276, 217726, 217829, 219965, 220201, 221014, 222012, 222020, 222650, 223788, 224478, 224604, 226056, 226572, 227452, 227626, 230094, 231629, 232183, 232475, 234140, 234320, 234859, 234914, 235302, 236115, 236154, 237038, 237437, 238099, 238161, 238407, 238581, 238975, 239412, 239999, 240869, 241230, 242618, 243592, 245076, 245493, 246323, 246715, 247732, 247754, 249865, 250397, 250963, 251654, 252606, 252901, 253842, 254830, 254833, 254903, 255972, 256540, 256728, 256884, 257146, 257886, 260131, 261092, 261304, 261340, 261384, 261542, 261715, 262442, 262502, 262604, 263940, 263990, 264688, 266177, 268398, 269944, 270189, 270690, 270809, 271497, 271676, 271791, 272307, 272454, 273632, 273864, 274657, 274894, 274953, 275401, 275684, 275763, 275829, 275915, 275928, 277301, 278593, 278827, 279401, 280081, 280320, 280433, 280880, 280966, 281256, 282068, 282597, 283046, 283502, 285334, 286184, 286476, 286554, 286890, 286963, 287925, 288519, 289259, 289595, 289822, 290854, 291899, 294156, 295003, 295084, 295124, 295265, 297408, 298548, 298742, 298935, 300380, 300450, 300649, 301807, 301967, 302471, 303160, 303169, 303309, 304298, 304419, 304712, 305003, 305242, 305397, 305507, 305516, 306906, 307718, 308407, 309381, 309554, 309792, 309886, 310155, 310184, 311282, 311494, 311655, 312376, 312856, 313130, 313291, 313520, 313531, 313674, 313976, 314138, 315504, 315579, 317558, 317586, 318678, 319122, 319484, 319839, 319952, 320988, 321198, 322061, 322851, 323046, 323540, 324385, 324441, 324605, 324679, 325450, 326234, 326961, 327015, 327358, 327452, 328876, 328952, 329426, 330866, 330939, 332850, 333067, 334806, 334959, 335097, 335322, 336312, 337693, 337814, 337840, 338042, 338405, 339524, 339905, 340149, 341101, 342587, 343805, 344568, 344970, 348948, 349015, 349408, 349914, 350405, 350647, 351599, 352108, 353107, 353762, 353820, 354088, 354730, 355676, 355942, 356945, 357500, 358021, 358032, 358331, 359007, 359077, 360794, 361607, 361695, 362412, 363005, 363045, 364296, 365455, 365510, 365679, 366567, 368055, 369359, 369391, 370690, 371498, 371614, 372638, 374604, 374866, 375121, 375535, 375744, 375851, 376043, 376147, 376177, 376597, 376854, 377001, 377242, 378158, 378300, 378542, 378893, 380944, 381377, 381808, 382117, 382985, 383035, 383043, 383912, 384801, 385538, 385630, 386196, 386271, 386618, 387239, 387325, 388275, 390199, 390982, 391139, 391197, 391675, 392099, 392301, 392366, 392476, 392865, 392937, 393298, 394811, 394813, 395532, 395817, 397075, 397295, 397622, 398830, 398839, 399682, 400253, 402629, 405267, 405310, 406630, 406772, 407270, 407466, 407553, 407955, 408382, 408799, 410856, 410970, 411679, 412503, 412666, 413540, 413867, 415771, 415780, 417071, 419058, 419439, 419573, 419668, 419979, 421137, 421160, 423459, 424345, 424865, 426511, 426807, 426964, 427809, 429379, 429530, 429948, 430278, 431192, 431374, 431714, 432995, 434088, 434730, 436536, 436583, 436940, 437351, 437665, 437885, 438421, 440578, 440904, 441471, 443015, 443377, 444007, 445612, 446548, 447143, 447576, 448590, 449280, 449358, 449468, 449743, 450524, 450623, 450658, 450717, 450776, 451082, 451487, 451572, 452092, 452878, 453207, 453834, 455558, 456258, 456683, 457679, 458443, 458746, 459070, 459451, 459515, 459932, 460099, 460228, 461875, 462014, 462636, 462697, 463264, 463550, 463711, 464519, 464842, 465110, 465285, 465308, 465591, 465877, 467975, 469049, 470524, 470752, 471039, 471529, 471962, 472112, 472468, 475467, 476436, 476566, 476652, 476819, 477918, 477935, 478112, 478331, 478456, 478823, 479253, 479256, 479753, 480061, 480079, 481388, 481450, 482021, 482512, 482531, 482999, 483545, 484505, 484507, 484939, 485071, 486023, 487374, 488841, 490823, 490898, 491709, 491803, 492313, 492488, 493782, 493984, 494628, 496885, 497481, 497798, 498495, 499286, 500694, 501191, 501913, 502397, 502556, 502604, 503254, 503538, 503775, 504488, 506984, 507214, 507875, 507933, 508797, 509386, 510144, 510243, 510627, 510635, 510973, 511013, 511653, 512147, 512350, 515047, 516464, 516884, 518075, 518130, 518800, 519802, 520267, 521418, 522726, 523169, 523356, 523822, 525481, 525897, 526886, 527626, 528757, 529783, 529805, 530131, 530327, 530862, 530944, 532306, 532387, 532781, 533693, 533789, 533840, 535413, 536074, 536398, 536487, 537265, 537965, 538955, 539488, 539509, 540071, 540247, 540736, 541689, 542281, 542461, 542513, 542549, 543323, 543325, 543699, 545865, 546750, 546999, 547386, 547482, 547635, 548581, 549049, 549403, 550155, 550156, 550646, 550893, 551098, 551179, 551934, 552657, 552846, 552904, 553907, 554760, 555005, 555540, 555882, 556676, 556719, 557034, 557170, 557428, 557636, 557637, 557816, 558004, 558255, 558934, 559328, 559549, 560373, 560724, 560820, 561280, 561615, 562015, 562198, 562758, 564060, 564203, 567823, 568132, 568454, 568859, 569472, 570365, 571874, 572139, 572690, 573126, 574048, 574941, 575042, 575557, 575782, 575826, 576831, 576975, 577041, 577442, 578038, 578365, 578455, 578507, 578619, 578715, 579353, 580123, 580256, 580533, 580947, 580987, 581043, 582527, 582545, 583606, 583889, 584120, 584126, 585265, 586288, 588002, 588699, 589325, 590110, 591465, 591620, 591832, 592027, 592510, 592824, 594753, 594866, 594957, 595074, 595248, 595305, 595857, 597370, 597464, 597710, 598769, 598886, 599279, 599725, 600407, 600652, 601405, 601640, 601806, 601965, 604625, 605319, 606431, 606704, 606741, 607089, 607278, 607784, 608233, 609205, 611957, 612165, 612375, 614173, 614670, 615076, 615712, 616924, 618788, 619616, 619745, 621358, 622174, 622767, 622856, 623313, 623495, 623497, 624174, 625134, 625577, 626163, 632926, 653697, 655983, 657916, 665395, 686290, 694298, 699965, 703692, 708824, 711515, 711978, 712041, 715147, 715453, 716095, 716605, 723615, 729626, 730825, 731835, 734827, 741468, 741484, 742338, 742861, 745144, 745446, 747446, 747609, 748021, 750685, 755092, 756073, 756204, 756427, 766612, 768034, 772456, 782706, 789070, 794611, 798749, 804991, 806884, 807430, 808804, 812623, 813707, 818420, 818643, 818839, 820248, 821001, 823956, 826897, 827893, 828203, 828612, 829307, 829955, 830308, 834357, 835363, 836821, 837001, 837799, 838066, 838634, 839870, 841343, 843188, 845000, 845834, 849398, 863491, 866495, 866601, 866670, 866758, 869865, 870976, 871644, 872953, 874591, 874653, 875601, 875771, 876060, 876389, 876659, 876791, 878894, 879040, 879166, 879507, 880018, 880837, 881735, 881847, 882282, 882436, 882474, 885634, 885674, 886050, 886119, 886366, 888404, 888764, 888898, 889564, 890216, 892959, 894409, 895064, 895314, 895429, 895588, 895812, 897154, 897326, 898398, 898615, 898831, 899017, 899061, 899788, 899914, 901399, 904661, 906151, 906775, 907543, 908076, 908982, 909658, 910909, 911256, 911475, 912315, 912919, 913577, 914699, 914853, 920128, 922413, 930331, 931873, 932324, 932372, 932650, 932988, 933342, 933681, 935624, 938182, 939342, 939545, 941598, 943036, 949782, 951012, 953681, 954109, 955150, 956307, 956586, 958708, 960904, 961444, 961949, 962765, 963737, 964485, 965637, 967612, 970153, 970580, 972938, 973075, 973330, 973649, 974216, 974417, 975791, 975853, 979056, 979326, 980754, 981107, 984672, 984812, 991985, 995076, 996211, 997149, 997163, 998226, 998627, 999010, 999488, 1000503, 1001471, 1001489, 1001617, 1004644, 1005407, 1005776, 1005793, 1009849, 1014033, 1015669, 1016700, 1018623, 1020524, 1023800, 1025269, 1025324, 1025791, 1027791, 1028364, 1029318, 1029987, 1030140, 1032002, 1035023, 1038025, 1038325, 1039622, 1040881, 1046200, 1052397, 1054560, 1055143, 1055722, 1056600, 1057343, 1057511, 1059920, 1061471, 1062335, 1064200, 1065030, 1065835, 1065901, 1066192, 1066878, 1066967, 1067131, 1068315, 1069144, 1071706, 1072489, 1073949, 1076586, 1077588, 1080578, 1088585, 1089775, 1089919, 1091079, 1091502, 1092861, 1096278, 1097340, 1100051, 1100266, 1101837, 1103368, 1105782, 1107835, 1112698, 1119605, 1122125, 1124305, 1149581, 1152822, 1152864, 1153136, 1158305, 1159069, 1160717, 1166534, 1166747, 1167164, 1168051, 1168827, 1169281, 1169349, 1172388, 1172598, 1175910, 1180497, 1180636, 1184678, 1185433, 1193377, 1194623]",1180, 4160,2018-09-01,1,0.0,1180,1,['LAVAGE CLU']
1,"[366803, 378200, 471775, 586476, 995860, 1028864]",6, 2672,2018-09-01,1,0.0,6,1,['ORANGINA 33CL']
2,"[174525, 286384, 446458, 518759, 519499, 698499, 963615]",7, 3312,2018-09-01,1,0.0,7,1,['SOEBO JMB CRU CHEVRE 190G']
3,"[100715, 118658, 149358, 341582, 420848, 542908, 574168, 915587, 1097861, 1214239, 1234287]",11, 3316,2018-09-01,1,0.0,11,1,['SDW.COMP.POULET ROT 125G']
4,"[149358, 335918, 490858, 503825, 507317, 594535, 849340, 989996, 1082060]",9, 3452,2018-09-01,1,0.0,9,1,['CRISTALINE 1L']
5,"[147896, 223641, 235596, 250397, 347996, 441177, 460955, 465110, 483545, 618438, 717686]",11, 5220,2018-09-01,1,0.0,11,1,[]
6,"[131823, 199655, 402629, 449166, 535449, 625643, 897079, 926125, 1036452, 1152207]",10, 5697,2018-09-01,1,0.0,10,1,['MMS PEANUT JNE 200G']
7,"[140232, 185135, 257364, 322611, 447140, 522769, 526727, 1030391, 1046874, 1057197, 1076612]",11, 5946,2018-09-01,1,0.0,11,1,['LG TTS SAISONS -10  5L']
8,"[289788, 381774, 424865, 545984, 574634, 585130, 849812, 930235, 1114085, 1152207]",10, 6436,2018-09-01,1,0.0,10,1,['PRINCE GRANOLA LAIT 200 G']
9,"[146720, 249738, 250022, 470752, 534467, 1078868, 1192820, 1198347]",8, 6991,2018-09-01,1,0.0,8,1,['LAMPE H7 12V 55W PREMIU']
